nombre,descripcion,timpodomidarest,paginaweb
Andrés Carne de Res,Andrés Carne de Res es un rico restaurante de comida Italiana.,Italiana,http://Andrés Carne de Res.com
Tostao,Tostao es un rico restaurante de comida Dietética.,Dietética,http://Tostao.com
Telepizza,Telepizza es un rico restaurante de comida Sin gluten.,Sin gluten,http://Telepizza.com
Chick & Chips,Chick & Chips es un rico restaurante de comida Sin gluten.,Sin gluten,http://Chick & Chips.com
Jenos Pizza,Jenos Pizza es un rico restaurante de comida Grasosa.,Grasosa,http://Jenos Pizza.com
El Corral,El Corral es un rico restaurante de comida Sin gluten.,Sin gluten,http://El Corral.com
Mateo Parrilla,Mateo Parrilla es un rico restaurante de comida Chatarra.,Chatarra,http://Mateo Parrilla.com
Tao Calentao,Tao Calentao es un rico restaurante de comida Gourmet.,Gourmet,http://Tao Calentao.com
One Burrito,One Burrito es un rico restaurante de comida Italiana.,Italiana,http://One Burrito.com
Buffalo Wings,Buffalo Wings es un rico restaurante de comida Chatarra.,Chatarra,http://Buffalo Wings.com
